inst_id,fiscal_year,revenue_tuition,revenue_subsidy,revenue_other,total_revenue,expense_personnel,expense_teaching,expense_facility,expense_rent,expense_admin,expense_other,total_expense,surplus,verified
K2415A70C05,2021,9993228.0,,1292541.0,11284869.0,6763467.0,1545938.0,231172.0,,146798.0,2378937.0,11066312.0,218557.0,1
K15CCE45A4E,2021,10148808.0,,2233289.0,12382097.0,6971731.0,1530901.0,143230.0,,143680.0,2527321.0,11291786.0,1065234.0,1
K54E0E6A4A2,2021,9988378.0,,1966673.0,11955951.0,7235004.0,1539437.0,214040.0,,136141.0,2063656.0,11188278.0,767673.0,1
KDF998FD925,2021,6210921.0,,1000070.0,71163219.0,3798440.0,1313667.0,266023.0,,100500.0,1311508.0,6790138.0,373081.0,0
K25B89B6B3E,2021,9030884.0,,2849031.0,11841923.0,5862148.0,1280667.0,194048.0,,147654.0,3565399.0,11009882.0,832041.0,1
KB7027794AA,2021,11652645.0,,2406564.0,14059209.0,7099629.0,1995118.0,194754.0,,286093.0,2871760.0,12416699.0,1642510.0,1
KA17D8F5F9A,2021,14112426.0,,2047485.0,16159911.0,9226416.0,2659665.0,269856.0,,367198.0,2113770.0,14636005.0,1523006.0,1
K9FE59C70CF,2021,11297761.0,,2451447.0,13749148.0,6903487.0,1665532.0,212732.0,,247759.0,3163292.0,12190875.0,1558273.0,1
K5BDC0C740F,2021,6932177.0,,1970796.0,8902973.0,4234041.0,965217.0,174461.0,,219922.0,2700549.0,8259804.0,643169.0,1
K9A79920811,2021,10620655.0,,2677567.0,13298222.0,8041532.0,1987497.0,259684.0,,93419.0,2748747.0,13109480.0,188742.0,1
KF31C21F4B0,2021,12887849.0,,2961472.0,15892108.0,9506267.0,2738435.0,293672.0,,128354.0,2950664.0,15617392.0,274716.0,1
K633CC054A3,2021,8937749.0,,933349.0,9871098.0,5558696.0,1278419.0,78590.0,,81002.0,13104689.0,9101396.0,769702.0,0
KBDDA1A2637,2021,8927018.0,,1641635.0,10568653.0,6256592.0,1369641.0,133259.0,,96878.0,2432920.0,10289290.0,279363.0,1
K8D89087028,2021,-9488.0,,2781947.0,13998676.0,7367122.0,1581189.0,109062.0,,186492.0,3990031.0,13188367.0,810309.0,0
K1903EBE606,2021,16436732.0,,4230090.0,20666822.0,11149982.0,2297841.0,261288.0,,245722.0,4266672.0,18190164.0,2476658.0,1
K67A61067B3,2021,10908429.0,,2634754.0,13544083.0,7715140.0,1949675.0,257628.0,,97265.0,3312981.0,13222267.0,321816.0,1
K81731FCDA3,2021,6526573.0,,1479672.0,8865015.0,4094563.0,1148781.0,127130.0,,114625.0,1867887.0,8227854.0,637161.0,0
KE2E8B37088,2021,9039153.0,,2774693.0,11813846.0,6042382.0,1775443.0,233585.0,,136890.0,2788035.0,10976335.0,837511.0,1
KF984F05B3B,2021,12830063.0,,3105455.0,15815279.0,8790805.0,2267436.0,272022.0,,202959.0,3465164.0,14998386.0,816893.0,1
K557631E383,2021,-201480.0,,738118.0,8159607.0,,2587522.0,382963.0,,196475.0,3072787.0,6062024.0,2097583.0,0
KEF0B2D1C01,2021,9941533.0,,1842572.0,11784105.0,5557050.0,1194436.0,55795.0,,278845.0,3533792.0,11243663.0,540442.0,0
KF3442B4BCB,2021,10108214.0,,2367777.0,12475991.0,6320807.0,1160294.0,165903.0,,124799.0,3704314.0,12159501.0,316490.0,0
KBEC7666275,2021,10385823.0,,2340067.0,12725890.0,6594614.0,1710343.0,213515.0,,194394.0,2797322.0,11508044.0,1217846.0,1
K506842339C,2021,9590149.0,,1244106.0,10834255.0,5829309.0,1186089.0,177023.0,,194600.0,1788254.0,9157134.0,1677121.0,1
K4574C62080,2021,11634304.0,,1378847.0,13013151.0,7280058.0,1714078.0,333407.0,,254384.0,1650507.0,11232434.0,1780717.0,1
K67BABA0726,2021,11660795.0,,912727.0,12558092.0,6187424.0,2151760.0,297186.0,,307507.0,1941600.0,10885477.0,1672615.0,1
KDD826D2227,2021,11598518.0,,1061905.0,12660423.0,6791109.0,1311334.0,147170.0,,242536.0,1919667.0,10392871.0,2267552.0,1
K6E947C0B9C,2021,9722390.0,,1264699.0,10987089.0,6385242.0,1596227.0,234377.0,,240028.0,1262938.0,9718812.0,1268277.0,1
K2415A70C05,2022,16227807.0,,1165600.0,17393407.0,11539967.0,2486246.0,98671.0,,314971.0,2303680.0,16743535.0,649872.0,1
K15CCE45A4E,2022,10133588.0,,2567664.0,12701252.0,7286602.0,1620692.0,77569.0,,152049.0,3150479.0,12287391.0,413861.0,1
K54E0E6A4A2,2022,9991038.0,,2224916.0,12215954.0,6737493.0,1617874.0,230024.0,,132854.0,3146609.0,11864854.0,351100.0,1
KDF998FD925,2022,6180487.0,,1584810.0,7765295.0,4018056.0,1416365.0,252435.0,,112245.0,1879992.0,7679993.0,85302.0,1
K25B89B6B3E,2022,9024121.0,,2993595.0,11976524.0,6412661.0,1499543.0,193435.0,,147024.0,3617210.0,11869873.0,106651.0,1
KB7027794AA,2022,11644841.0,,2321135.0,13965976.0,7770536.0,2134487.0,241263.0,,274838.0,3664804.0,14033020.0,-67044.0,1
KA17D8F5F9A,2022,20083258.0,,1772235.0,21855494.0,14516199.0,2901393.0,419715.0,,389181.0,3106368.0,21332856.0,522638.0,1
K9FE59C70CF,2022,11303691.0,,2906157.0,14209848.0,7382340.0,1541661.0,262346.0,,254992.0,4324290.0,13753629.0,456219.0,1
K5BDC0C740F,2022,6957635.0,,2167807.0,9125442.0,4104465.0,1154991.0,205400.0,,223067.0,,8883790.0,241652.0,0
K9A79920811,2022,12325429.0,,2786974.0,15112403.0,8970981.0,2204154.0,208102.0,,244104.0,3291096.0,14918437.0,193966.0,1
KF31C21F4B0,2022,14893264.0,,1496660.0,16389924.0,11076596.0,2506461.0,277162.0,,334934.0,2135778.0,16330931.0,58993.0,1
K633CC054A3,2022,,,202354.0,1151427.0,7001260.0,1345342.0,193879.0,,208850.0,1182138.0,10831469.0,319058.0,0
KBDDA1A2637,2022,11029619.0,,734271.0,11763890.0,7732482.0,1659684.0,212563.0,,230306.0,1716659.0,11551694.0,212196.0,1
K8D89087028,2022,,,2660220.0,15301795.0,9226443.0,1651518.0,204654.0,,242945.0,3799096.0,15124656.0,177139.0,0
K1903EBE606,2022,20930734.0,,3144884.0,24075618.0,14262637.0,2160233.0,169053.0,,358263.0,6516885.0,23467071.0,607647.0,1
K67A61067B3,2022,12563292.0,,2981086.0,15544378.0,8646665.0,2131892.0,162905.0,,371941.0,4319182.0,15532585.0,11793.0,1
K81731FCDA3,2022,14926361.0,,2029193.0,16955554.0,10636839.0,2119850.0,235866.0,,328465.0,2454450.0,15775470.0,1180084.0,1
KE2E8B37088,2022,12518271.0,,2462228.0,14080499.0,8845271.0,2254753.0,302670.0,,274427.0,1386355.0,14859531.0,117023.0,0
KF984F05B3B,2022,-1098649.0,,3670586.0,16335675.0,8582980.0,2188799.0,213466.0,,203649.0,4959949.0,16148842.0,186833.0,0
K557631E383,2022,15102419.0,,4263010.0,19365429.0,10307328.0,2898322.0,317588.0,,244491.0,3947195.0,17714924.0,1650505.0,1
KEF0B2D1C01,2022,10087241.0,,2440255.0,12527496.0,5405235.0,1241881.0,132143.0,,277308.0,4068012.0,11810719.0,716777.0,0
KF3442B4BCB,2022,10029603.0,,3323641.0,13353244.0,6071285.0,1256452.0,92290.0,,125358.0,4743989.0,13050654.0,302590.0,0
KBEC7666275,2022,10290703.0,,2889423.0,13018126.0,6714037.0,1681006.0,185068.0,,191828.0,3756421.0,12528360.0,489766.0,1
K506842339C,2022,9527138.0,,2189449.0,11717487.0,5930070.0,1348074.0,190252.0,,193360.0,3882955.0,11546511.0,170976.0,1
K4574C62080,2022,11643589.0,,3000547.0,14644136.0,7877577.0,1993115.0,187110.0,,256448.0,4525258.0,14839508.0,-195372.0,1
K67BABA0726,2022,11851525.0,,1524782.0,13376316.0,7228314.0,2399743.0,120306.0,,293784.0,1464419.0,11650727.0,1725589.0,1
KDD826D2227,2022,11546921.0,,2075252.0,13622173.0,7235158.0,1509114.0,196841.0,,239842.0,4192036.0,13372991.0,249182.0,1
K6E947C0B9C,2022,22383667.0,,2546342.0,24930009.0,15206445.0,3345317.0,418914.0,,469335.0,3953534.0,23393545.0,1537364.0,1
K39DA25503E,2022,22821535.0,,1342716.0,24164251.0,14214119.0,3976940.0,421716.0,,371577.0,2534737.0,21514774.0,2645162.0,1
KC0365E3036,2022,6794845.0,,212356.0,7007201.0,6055356.0,1045164.0,285874.0,,215613.0,155617.0,7557889.0,-550688.0,0
